SITE,N CHICKS,DATE,AGE CHICKS,START TIME,END TIME,IVIs,IVInum
18,4,20-Jul-18,8,16:20:00,16:26:13,01:54:24,0.0794
18,4,24-Jul-18,12,14:38:27,14:43:50,01:54:20,0.0794
80,3,21-Jul-18,8,21:20:00,21:27:30,01:54:30,0.0795
75,1,02-Aug-18,22,05:38:20,05:43:44,01:54:30,0.0795
22,3,22-Jul-18,11,18:22:01,18:32:30,01:54:31,0.0795
45,3,08-Aug-18,23,19:49:56,19:51:22,01:54:49,0.0797
22,3,17-Jul-18,6,21:17:50,21:20:00,01:55:20,0.0801
18,4,18-Jul-18,6,17:40:08,17:48:20,01:55:30,0.0802
75,1,03-Aug-18,23,13:58:32,14:00:26,01:55:44,0.0804
53,3,20-Jul-18,4,20:59:34,21:06:53,01:56:05,0.0806
29,1,27-Jul-18,14,11:48:42,11:54:25,01:56:00,0.0806
77,3,26-Jul-18,10,11:33:42,11:37:30,01:56:12,0.0807
3,4,24-Jul-18,9,20:22:30,20:25:41,01:56:14,0.0807
18,3,06-Aug-18,25,20:09:04,20:44:12,01:56:16,0.0807
18,3,06-Aug-18,25,12:34:49,12:37:26,01:56:23,0.0808
75,2,26-Jul-18,15,07:42:48,07:55:46,01:56:28,0.0809
18,4,28-Jul-18,16,19:57:37,20:14:05,01:56:51,0.0811
53,3,01-Aug-18,16,10:17:06,10:32:33,01:56:59,0.0812
18,3,03-Aug-18,22,06:40:00,06:42:36,01:56:58,0.0812
45,3,25-Jul-18,8,12:03:21,12:10:40,01:56:55,0.0812
77,3,21-Jul-18,5,16:25:00,16:32:30,01:57:30,0.0816
45,3,24-Jul-18,7,06:52:12,06:58:27,01:57:31,0.0816
80,3,01-Aug-18,19,07:52:27,07:54:33,01:57:49,0.0818
75,2,16-Jul-18,5,18:46:52,18:50:55,01:58:09,0.082
18,4,30-Jul-18,18,09:41:15,10:00:13,01:58:05,0.082
33,2,03-Aug-18,14,07:02:47,07:08:13,01:58:05,0.082
18,3,31-Jul-18,19,20:59:12,21:02:09,01:58:11,0.0821
18,4,29-Jul-18,17,20:50:48,20:57:30,01:58:23,0.0822
33,2,27-Jul-18,7,21:04:05,21:07:30,01:58:20,0.0822
75,1,27-Jul-18,16,19:16:48,19:20:00,01:58:40,0.0824
18,4,27-Jul-18,15,21:23:29,21:27:14,01:58:38,0.0824
29,1,28-Jul-18,15,11:09:30,11:10:45,01:58:37,0.0824
53,3,27-Jul-18,11,16:00:37,16:16:22,01:58:56,0.0826
77,3,29-Jul-18,13,07:24:10,07:27:30,01:59:10,0.0828
53,3,20-Jul-18,4,18:53:47,19:03:29,01:59:16,0.0828
33,2,05-Aug-18,16,07:03:38,07:08:05,01:59:29,0.083
53,3,26-Jul-18,10,19:59:10,20:11:14,01:59:40,0.0831
33,2,26-Jul-18,6,15:50:13,16:00:39,01:59:48,0.0832
53,3,29-Jul-18,13,19:40:56,20:06:17,01:59:58,0.0833
30,3,22-Jul-18,7,09:19:47,09:26:46,01:59:54,0.0833
18,4,24-Jul-18,12,07:47:24,07:54:19,02:00:15,0.0835
147,2,18-Jul-18,4,15:28:10,15:38:05,02:00:27,0.0836
18,4,27-Jul-18,15,06:11:35,06:17:04,02:00:22,0.0836
33,2,04-Aug-18,15,06:56:30,07:07:33,02:00:26,0.0836
53,3,22-Jul-18,6,14:05:32,14:12:01,02:00:32,0.0837
77,3,02-Aug-18,17,09:44:38,09:48:07,02:01:19,0.0842
75,2,25-Jul-18,14,19:42:26,19:53:19,02:01:20,0.0843
78,2,27-Jul-18,10,15:25:08,15:31:01,02:01:35,0.0844
3,4,23-Jul-18,8,06:00:00,06:09:55,02:01:31,0.0844
47,3,26-Jul-18,5,15:59:24,16:05:56,02:01:41,0.0845
22,3,19-Jul-18,8,12:03:57,12:12:30,02:01:52,0.0846
45,3,12-Aug-18,27,10:21:38,10:22:25,02:02:11,0.0848
29,1,03-Aug-18,20,21:59:48,22:02:32,02:02:18,0.0849
77,3,20-Jul-18,4,06:55:00,07:00:00,02:02:30,0.0851
57,2,20-Jul-18,4,19:40:00,19:47:30,02:02:42,0.0852
3,4,29-Jul-18,14,20:03:21,20:05:40,02:02:39,0.0852
53,3,23-Jul-18,7,18:59:47,19:16:18,02:03:19,0.0856
47,3,28-Jul-18,7,14:13:16,14:20:00,02:03:16,0.0856
53,3,22-Jul-18,6,19:25:00,19:27:50,02:03:33,0.0858
18,4,30-Jul-18,18,20:13:43,20:18:11,02:03:43,0.0859
78,2,24-Jul-18,7,11:57:52,12:03:58,02:04:08,0.0862
47,3,29-Jul-18,8,06:29:35,06:37:29,02:04:09,0.0862
22,3,23-Jul-18,12,14:10:00,12:17:30,02:04:14,0.0863
75,1,06-Aug-18,26,06:42:47,06:45:00,02:04:24,0.0864
3,4,24-Jul-18,9,06:54:17,07:02:56,02:04:22,0.0864
78,2,25-Jul-18,8,09:32:04,09:41:56,02:04:34,0.0865
22,3,18-Jul-18,7,19:37:03,19:47:30,02:04:33,0.0865
